region_slug,item_name,spec_label,amount_krw,method,note
gwanak,책상,책상/컴퓨터책상(가로120cm이하*세로80cm이하)(유리별도),6000,,
gwanak,책상,h형 책상(책장포함 가로100cm미만*높이200cm)(유리별도),10000,,
gwanak,책장(책꽂이),가로100cm미만*높이100cm미만,6000,,
gwanak,서랍장,4단이하(가로60cm이하)(유리별도),3000,,
gwanak,서랍장,4단이하(가로120cm이하)(유리별도),7000,,
gwanak,장롱(옷장),가로90cm미만/분리되는 쪽당,10000,,
gwanak,장롱(옷장),가로120cm이상/분리되는 쪽당,14000,,
gwanak,소파,리클라이너소파(1인당),7000,,
gwanak,소파,"돌,흙소파(2인용)(180cm미만)",20000,,
gwanak,소파,"돌,흙소파(3인용)(180cm이상)",25000,,
gwanak,식탁,"나무식탁 4인용 이하(120cm*80cm미만)(의자,유리별도)",4000,,
gwanak,의자,일반 의자,2000,,
gwanak,의자,장의자(120cm이하),6000,,
gwanak,신발장,가로100cm미만*높이100cm미만,6000,,
gwanak,침대,매트리스(1인용),5000,,
gwanak,침대,매트리스(2인용),8000,,
gwanak,침대,"틀(1인용)(헤드,서랍 별도)",5000,,
gwanak,침대,"틀(2인용)(헤드,서랍 별도)",7000,,
gwanak,냉장고,100ℓ 미만,2000,,
gwanak,냉장고,300ℓ 미만,4000,,
gwanak,냉장고,500ℓ 미만,7000,,
gwanak,냉장고,700ℓ 미만,9000,,
gwanak,세탁기,10kg 미만,4000,,
gwanak,세탁기,20kg 미만,6000,,
gwanak,텔레비전,대각선 63㎝ 미만,2000,,
gwanak,텔레비전,대각선 107㎝ 미만,4000,,
gwanak,에어컨,벽걸이형,4000,,
gwanak,에어컨,스탠드형,7000,,
gwanak,에어컨,실외기,3000,,
gwanak,컴퓨터,본체,2000,,
gwanak,컴퓨터,모니터,2000,,
gwanak,컴퓨터,노트북,1000,,
gwanak,자전거,성인용,5000,,
gwanak,자전거,아동용(2륜),3000,,
gwanak,유모차,1인용,2000,,
gwanak,유모차,2인용,3000,,
gwanak,거울,가로50cm*세로100cm미만,2000,,
gwanak,옷걸이,스탠드형,2000,,
gangnam,장롱(옷장),100cm이상 1쪽,15000,,
gangnam,책장(책꽂이),100cm 이상,8000,,
gangnam,책장(책꽂이),책꽂이 4단 이하,4000,,
gangnam,서랍장,5단 이상,5000,,
gangnam,책상,양수책상,7000,,
gangnam,소파,3인용,7000,,
gangnam,식탁,4인용 이상,5000,,
gangnam,의자,1인용,2000,,
gangnam,신발장,1m 이상,5000,,
gangnam,침대,1인용 세트(매트리스1개+틀),10000,,
gangnam,침대,2인용 세트(매트리스1개+틀),15000,,
gangnam,냉장고,300ℓ 이상,6000,,대형가전 무상방문수거(1599-0903) 대상
gangnam,세탁기,10kg 이상,5000,,대형가전 무상방문수거(1599-0903) 대상
gangnam,텔레비전,42인치 이상,7000,,대형가전 무상방문수거(1599-0903) 대상
gangnam,에어컨,66㎡ 이상,5000,,대형가전 무상방문수거(1599-0903) 대상
gangnam,컴퓨터,본체,0,,소형폐가전 무상수거 대상
gangnam,자전거,성인용,3000,,
gangnam,유모차,모든 규격(보행기 포함),3000,,
gangnam,거울,유리(거울/판유리) 1㎡당,2000,,
gangnam,옷걸이,모든 규격,2000,,
gangnam,화장대,모든 규격,5000,,
gangnam,러닝머신,모든 규격,10000,,
gangnam,안마의자,모든 규격,20000,,
nowon,책상,일반책상(서랍없음),3000,,
nowon,책상,일반책상(양쪽서랍형),7000,,
nowon,책장(책꽂이),책장/책꽂이(긴 면 100㎝ 미만),4000,,
nowon,서랍장,서랍장(5단 미만·폭 1m 미만),2000,,
nowon,장롱(옷장),장롱/옷장(폭 30㎝당·높이 180㎝ 미만),3500,,
nowon,소파,일반소파(너비 80cm 이하·3인용),8000,,
nowon,소파,일반소파(너비 80cm 이하·1인용),3000,,
nowon,식탁,일반식탁(4인용),4000,,
nowon,의자,일반의자(1인용),2000,,
nowon,신발장,신발장(긴 면 100㎝ 미만),4000,,
nowon,침대,침대틀(싱글/슈퍼싱글),5000,,
nowon,침대,침대틀(퀸),7000,,
nowon,냉장고,냉장고 300ℓ 미만,8000,,대형가전 무상방문수거(1599-0903) 대상
nowon,세탁기,세탁기 10kg 미만,8000,,대형가전 무상방문수거(1599-0903) 대상
