name,category,waste_type,keywords,default_method
책상,가구,large_waste,책상|테이블|데스크|컴퓨터책상,
책장(책꽂이),가구,large_waste,책장|책꽂이|서가,
서랍장,가구,large_waste,서랍장|수납장,
장롱(옷장),가구,large_waste,장롱|옷장|붙박이장,
소파,가구,large_waste,소파|쇼파,
식탁,가구,large_waste,식탁|다이닝테이블,
의자,가구,large_waste,의자|체어,
신발장,가구,large_waste,신발장|슈즈랙,
침대,침구,large_waste,침대|매트리스|침대틀|침대프레임,
냉장고,가전,large_waste,냉장고|김치냉장고,
세탁기,가전,large_waste,세탁기|드럼세탁기,
텔레비전,가전,large_waste,텔레비전|티비|TV,
에어컨,가전,large_waste,에어컨|에어콘|실외기,
컴퓨터,가전,large_waste,컴퓨터|본체|모니터|노트북|PC,
자전거,생활,large_waste,자전거|바이크,
유모차,생활,large_waste,유모차|유아차,
거울,생활,large_waste,거울|전신거울,
옷걸이,생활,large_waste,옷걸이|행거|스탠드행거,
화장대,가구,large_waste,화장대,
러닝머신,생활,large_waste,러닝머신|런닝머신|트레드밀,
안마의자,가구,large_waste,안마의자|마사지의자,
공기청정기,가전,large_waste,공기청정기|청정기,
선풍기,가전,large_waste,선풍기|써큘레이터,
가습기,가전,large_waste,가습기,
