region_slug,item_name,body,status
gwanak,,배출은 일~금 저녁 6시부터 자정 사이에 내 집·점포 앞에 내놓으세요. (배출예정일 다음날 수거),approved
gwanak,,신청 후 발급되는 배출번호(신고필증)를 붙이거나 적어두지 않으면 수거하지 않아요.,approved
gwanak,냉장고,냉장고·세탁기·에어컨 등 일부 폐가전은 무상방문수거(1599-0903) 대상일 수 있어요.,approved
gangnam,,배출 3일 전까지 신청해야 해요. 냉장고·세탁기·에어컨 등 대형가전은 무상방문수거(1599-0903)로 0원 처리 가능.,approved
nowon,,냉장고·세탁기·TV 등 대형가전은 요금표에 값이 있어도 무상방문수거(1599-0903) 대상이에요.,approved
yeongdeungpo,,대형가전(냉장고·세탁기·에어컨·TV 1m 이상)은 무상방문수거(1599-0903)로 0원 처리 가능. 무단투기 시 과태료.,approved
songpa,,냉장고·세탁기·TV·에어컨 등 대형가전은 무상방문수거(1599-0903) 우선 검토하세요.,approved
gangseo,,온라인 접수는 '빼기' 앱으로 일원화됐어요. 빼기 예약번호를 적어 붙이지 않으면 수거하지 않아요.,approved
eunpyeong,,신고필증 인쇄가 어려우면 접수번호·주소·품목·배출일자를 손으로 적어 부착해도 돼요.,approved
gangdong,,"폐가전(냉장고·세탁기·TV·에어컨)은 원형 보존 시 무상수거(1599-0903)가 우선이에요. 파손 시에만 수수료 대상.",approved
seongbuk,,"성북구는 스티커가 아니라 '배출번호제'예요. 배출번호는 신청일로부터 30일·동일품목 1회만 유효하고, 아파트는 관리실에서 자체 처리해요.",approved
jungnang,,"결제 후 배출증을 인쇄하거나 손으로 적어 반드시 부착하세요. 공동주택은 1층 지정장소에 배출해요.",approved
